idade,frequencia,nota_media,situacao_socioeconomica,distancia_escola,evasao
8,87,4.4,media,10,0
10,95,8.1,media,9,0
13,68,7.4,baixa,19,0
8,90,5.5,media,19,0
10,56,9.5,baixa,7,0
15,75,4.1,alta,11,0
6,63,4.8,alta,12,0
7,81,6.2,alta,9,0
8,88,6.6,baixa,19,0
6,79,7.3,baixa,9,1
16,59,6.0,media,1,0
17,51,9.6,alta,2,0
16,87,6.8,alta,9,0
14,54,8.2,media,19,0
14,55,6.0,baixa,9,0
10,77,8.8,baixa,11,0
9,64,8.1,baixa,16,0
10,78,9.0,baixa,4,1
9,79,5.2,baixa,2,1
17,93,9.7,baixa,17,0
10,93,9.5,media,15,0
12,80,6.6,baixa,12,0
16,80,4.7,media,15,0
13,84,6.7,baixa,9,0
7,75,6.5,media,19,0
9,58,9.0,media,7,0
13,97,4.0,media,3,0
12,56,4.4,media,3,0
14,62,7.8,media,7,1
10,69,4.1,media,15,1
11,77,8.1,media,17,1
16,96,6.2,baixa,13,0
13,79,9.9,alta,4,0
17,90,6.7,alta,6,0
16,76,8.6,media,4,1
10,98,7.7,baixa,13,0
14,79,6.9,baixa,8,0
9,90,6.9,media,10,0
13,73,9.7,alta,8,0
17,79,9.9,alta,10,0
8,50,9.4,baixa,18,0
10,73,6.3,baixa,18,0
13,69,4.7,baixa,12,0
15,57,5.7,media,2,0
17,66,6.7,alta,3,1
12,80,7.3,baixa,4,0
6,53,6.1,baixa,16,1
17,83,8.6,alta,6,0
9,82,6.8,alta,19,0
7,78,9.1,media,13,0
7,68,6.6,media,12,0
12,63,7.5,baixa,1,0
17,74,7.4,baixa,10,0
17,50,4.6,alta,11,0
8,71,6.9,baixa,10,0
8,95,6.3,media,1,0
11,53,7.1,media,6,0
11,84,5.5,baixa,15,0
6,99,7.6,alta,16,0
6,88,7.9,baixa,13,0
16,82,6.3,alta,19,0
11,65,7.9,alta,15,0
12,94,6.2,alta,16,1
14,84,7.1,alta,19,0
9,61,8.6,alta,6,0
15,85,5.1,baixa,6,0
11,95,10.0,baixa,10,0
17,56,5.4,alta,7,0
8,53,8.4,baixa,15,0
16,61,8.9,baixa,1,0
9,56,7.7,media,19,0
14,95,5.8,baixa,17,1
6,64,5.0,alta,12,0
10,55,4.9,baixa,10,0
16,66,5.7,alta,13,0
12,66,6.3,media,7,0
8,93,4.5,media,7,1
7,53,4.6,baixa,9,0
16,56,9.0,baixa,10,0
7,85,5.4,baixa,7,0
6,56,6.7,baixa,12,0
10,87,4.8,alta,15,1
8,85,5.7,media,8,0
16,91,6.3,baixa,16,0
17,82,8.4,media,4,0
12,72,7.8,media,1,0
6,77,4.4,alta,17,0
14,77,7.4,baixa,6,0
7,82,7.8,baixa,15,0
13,71,7.6,alta,10,0
15,88,4.0,baixa,2,0
9,71,6.6,media,14,1
11,53,9.1,alta,6,0
14,73,9.6,media,16,0
12,65,6.8,media,5,0
13,99,7.8,media,3,0
12,95,4.2,baixa,5,0
7,62,8.7,media,6,0
14,64,5.4,media,14,0
6,82,4.6,media,1,1
7,79,4.3,media,6,1
8,72,8.0,baixa,12,1
8,91,6.6,alta,6,1
15,99,9.0,media,1,0
9,54,4.4,media,9,0
10,88,5.1,baixa,7,0
11,83,4.1,baixa,10,0
6,90,9.4,baixa,3,0
13,54,7.9,alta,18,0
11,99,4.5,baixa,1,0
15,93,5.9,alta,15,0
14,53,8.2,media,11,0
10,65,4.4,alta,14,0
12,60,5.7,media,7,0
16,76,8.5,alta,6,0
9,72,7.6,alta,2,1
11,82,6.9,media,5,0
11,72,5.6,baixa,14,0
9,62,6.2,baixa,4,0
11,54,5.3,media,7,0
13,81,7.2,baixa,1,0
16,89,5.0,baixa,7,0
10,59,8.1,alta,4,0
7,64,8.1,media,1,0
14,64,4.8,media,19,0
16,72,4.8,media,16,0
9,94,8.5,baixa,2,0
9,83,7.7,baixa,17,0
16,53,4.2,media,9,0
12,62,7.5,baixa,11,0
15,78,6.3,baixa,11,0
15,58,5.2,baixa,4,0
11,54,4.6,alta,2,0
9,61,4.5,alta,1,0
11,83,7.9,media,6,0
8,57,4.1,baixa,15,0
12,69,7.7,media,10,0
11,65,6.0,alta,19,0
8,73,4.7,alta,4,0
6,69,7.5,baixa,5,0
17,57,8.3,media,16,0
15,78,4.8,baixa,2,1
10,68,7.8,baixa,2,0
15,91,5.3,baixa,16,0
7,74,8.5,baixa,16,0
12,86,7.8,media,8,0
12,52,9.1,baixa,12,1
9,68,6.5,baixa,6,1
11,83,5.8,media,17,0
6,56,6.8,baixa,3,0
7,58,9.8,baixa,15,0
11,57,8.9,media,15,0
7,68,8.9,alta,13,1
17,86,8.2,baixa,5,0
17,57,6.3,baixa,18,0
16,96,6.7,media,14,0
9,73,4.4,baixa,19,0
9,51,7.4,baixa,16,0
15,78,5.0,baixa,13,0
14,61,6.0,baixa,11,1
15,98,7.0,media,13,0
12,97,7.6,baixa,2,0
12,54,4.3,baixa,8,0
17,50,4.9,alta,18,0
16,62,9.1,alta,19,1
6,88,9.2,baixa,8,1
16,57,4.3,media,5,0
10,68,4.4,media,10,0
8,95,5.9,media,19,0
8,77,6.6,baixa,19,0
11,59,8.3,media,5,1
9,98,9.4,baixa,14,0
13,99,4.6,media,19,0
9,83,7.5,media,10,0
13,59,5.7,baixa,19,0
17,67,4.2,alta,12,0
17,59,5.2,alta,7,1
9,70,8.2,baixa,11,0
8,51,9.3,media,13,0
10,58,5.3,alta,16,0
17,97,4.5,media,11,1
10,87,7.5,media,7,0
15,56,4.9,media,5,0
15,52,7.4,baixa,8,0
6,75,5.0,baixa,18,1
13,56,6.2,media,14,1
13,89,6.1,media,13,1
13,74,5.0,baixa,13,0
15,86,9.3,media,6,0
9,84,8.7,baixa,6,1
14,95,4.1,baixa,10,0
15,76,6.7,media,4,0
8,87,7.3,baixa,14,0
12,84,9.0,baixa,14,0
11,56,4.9,media,17,0
14,87,5.5,baixa,18,0
17,69,7.5,baixa,2,1
9,72,7.4,baixa,13,1
9,99,5.4,media,4,0
11,78,6.5,media,13,0
13,71,9.8,baixa,18,0
8,70,8.2,baixa,12,0
16,91,9.0,baixa,2,0
13,54,5.2,baixa,2,0
13,89,9.6,media,15,0
12,96,7.2,baixa,17,0
12,97,9.4,media,2,0
10,92,9.3,baixa,4,0
7,59,8.4,media,14,0
17,82,5.3,baixa,1,0
7,50,4.5,alta,15,0
17,98,9.2,baixa,15,0
15,85,5.7,alta,15,1
17,65,5.6,alta,17,0
13,68,9.6,alta,9,0
16,54,7.4,baixa,15,0
11,72,4.4,media,1,1
13,52,4.4,baixa,10,1
8,95,5.8,baixa,17,0
6,99,8.6,media,18,0
11,67,5.1,media,5,1
7,52,8.1,alta,2,0
17,91,4.3,baixa,12,0
14,52,6.5,alta,10,0
10,63,4.5,alta,15,0
10,57,7.2,alta,1,0
15,81,7.9,alta,7,0
13,79,5.8,baixa,4,0
11,68,9.6,alta,5,0
8,55,7.1,baixa,10,0
14,58,9.8,media,15,0
15,97,5.0,baixa,12,1
9,79,7.4,media,2,0
15,55,5.0,baixa,5,0
9,97,5.2,baixa,1,0
17,80,6.5,alta,16,0
7,91,4.4,baixa,3,0
8,70,4.2,baixa,10,1
9,89,4.3,baixa,16,0
12,64,9.4,baixa,12,0
8,92,9.8,baixa,16,0
13,70,4.3,baixa,10,0
13,92,4.4,media,3,0
15,63,9.0,media,9,0
16,87,4.3,media,7,0
7,61,6.1,media,6,0
9,64,7.8,alta,4,0
13,86,9.2,baixa,2,1
6,60,8.8,alta,7,0
6,79,4.6,baixa,1,0
9,84,9.0,baixa,14,0
16,84,9.1,baixa,9,0
7,91,9.7,alta,9,0
6,91,4.1,baixa,17,0
13,86,9.7,alta,11,1
7,77,5.2,baixa,12,0
9,90,8.8,baixa,13,0
8,59,8.9,media,8,0
7,60,8.5,media,6,0
13,51,9.7,media,4,1
8,51,6.3,media,8,0
14,95,8.2,media,17,0
15,66,8.0,media,18,0
10,89,9.5,baixa,2,0
14,98,5.0,media,3,0
8,62,4.6,media,10,0
17,87,7.9,baixa,3,1
10,51,8.6,media,11,0
15,75,6.3,baixa,17,1
11,76,6.6,alta,1,0
14,99,9.7,baixa,1,0
13,88,8.1,baixa,3,0
7,86,4.5,media,17,1
7,82,7.4,baixa,9,0
10,67,4.8,media,3,0
10,78,8.1,media,17,0
10,53,8.3,baixa,2,0
9,97,8.5,baixa,7,1
13,79,9.5,baixa,8,0
16,87,5.1,alta,1,0
10,66,7.6,media,15,0
6,97,9.1,baixa,2,1
15,89,6.1,media,3,0
10,62,9.1,media,15,0
6,69,6.9,baixa,6,1
9,85,8.5,media,12,1
6,54,4.9,alta,4,1
11,76,9.6,media,19,1
11,72,9.5,baixa,7,0
6,60,7.1,baixa,7,1
17,84,8.7,media,1,0
13,67,9.1,alta,8,0
9,93,8.8,baixa,14,0
7,52,9.6,alta,5,0
6,80,7.1,alta,5,0
16,92,9.8,media,11,0
8,64,8.5,baixa,17,0
12,84,4.9,baixa,7,1
15,88,6.1,media,12,0
16,55,4.6,media,1,1
15,78,9.2,baixa,18,1
13,76,9.2,baixa,6,1
10,77,4.9,media,16,0
12,52,8.4,media,8,0
7,72,8.4,baixa,14,0
17,75,9.7,alta,2,0
17,76,9.2,baixa,10,0
9,55,8.0,baixa,4,0
11,82,8.5,baixa,8,0
17,63,4.7,baixa,19,1
17,52,6.8,baixa,4,1
17,68,7.8,media,4,0
17,89,4.7,baixa,9,0
17,68,7.6,alta,17,1
17,76,6.8,alta,16,0
10,99,6.0,baixa,17,0
11,86,9.1,baixa,15,0
17,91,6.3,alta,2,0
7,97,9.0,media,7,0
12,89,4.6,media,7,1
13,90,6.5,baixa,2,0
16,51,8.1,alta,2,1
14,94,4.5,media,10,1
11,63,5.0,alta,8,1
12,98,6.2,alta,3,0
17,77,4.1,media,2,0
6,59,4.6,baixa,6,0
14,87,7.6,baixa,11,0
11,77,4.5,alta,10,0
17,62,4.2,baixa,4,0
9,77,7.8,alta,14,0
15,94,6.9,media,7,0
14,66,5.3,baixa,3,0
17,54,7.9,baixa,19,0
6,96,7.8,alta,14,1
7,54,7.6,media,16,0
8,68,4.2,baixa,14,0
6,83,6.7,media,19,0
7,90,5.5,baixa,11,0
7,92,5.5,alta,17,0
12,88,7.1,baixa,5,0
15,80,6.6,baixa,17,0
11,74,8.9,media,5,0
17,50,9.6,alta,6,0
14,99,4.5,alta,9,0
10,71,8.4,media,1,0
14,87,7.8,media,19,0
17,97,7.1,baixa,12,0
15,78,7.6,media,8,0
14,51,8.7,baixa,1,0
7,90,4.8,baixa,1,0
17,91,6.0,baixa,13,0
14,79,4.7,baixa,9,0
8,66,7.6,baixa,19,0
16,85,6.2,baixa,10,0
8,63,9.1,baixa,19,0
17,66,5.1,alta,8,0
16,77,9.7,baixa,13,0
14,55,9.4,baixa,19,0
12,58,9.2,baixa,13,0
16,60,4.7,baixa,1,0
13,57,8.3,media,6,0
12,96,5.9,baixa,17,0
14,72,5.7,baixa,6,0
13,55,9.1,media,12,0
9,70,9.4,media,8,0
7,66,6.6,alta,15,0
16,88,5.1,baixa,2,0
10,60,5.8,baixa,18,0
7,88,7.2,media,18,0
9,54,9.8,baixa,16,0
17,80,9.1,baixa,10,0
7,65,8.4,alta,4,0
10,61,5.0,baixa,5,0
11,79,8.4,alta,2,0
16,74,8.5,media,19,0
6,61,6.1,baixa,11,0
17,52,8.1,media,15,1
13,66,6.7,alta,4,0
7,53,8.2,media,17,1
10,55,6.9,baixa,3,1
16,99,9.4,baixa,12,0
13,97,9.0,alta,17,0
10,64,7.7,baixa,18,0
8,81,8.5,alta,13,1
11,70,8.7,media,5,0
6,51,7.5,baixa,10,0
6,95,7.7,media,13,0
13,97,7.6,baixa,17,0
12,52,4.3,alta,12,1
15,74,8.8,baixa,13,0
15,76,9.7,alta,2,0
16,76,7.6,alta,3,0
16,72,9.1,media,14,0
8,58,4.0,baixa,5,0
13,85,7.2,baixa,4,0
16,60,5.9,baixa,19,0
13,88,4.1,media,19,1
6,56,7.2,media,3,0
15,62,6.1,baixa,18,0
12,56,8.6,baixa,10,0
7,91,9.8,media,12,0
17,96,6.7,alta,6,0
7,92,9.6,media,12,0
7,62,4.4,media,9,0
10,55,9.2,baixa,7,0
12,53,5.0,baixa,18,0
9,92,6.5,media,9,0
16,74,7.0,alta,3,0
17,69,9.9,media,14,0
9,58,9.5,alta,11,0
14,74,6.3,media,5,0
15,86,7.2,alta,12,1
14,58,9.0,alta,13,0
12,90,7.9,baixa,18,0
15,93,8.8,media,3,0
9,68,8.4,baixa,9,1
13,61,5.2,media,17,0
15,84,10.0,alta,14,1
8,53,7.4,baixa,17,0
8,68,7.4,baixa,1,0
17,99,7.6,baixa,16,0
12,93,4.3,alta,3,0
16,95,9.8,baixa,16,0
17,55,8.0,media,13,0
14,80,5.2,baixa,7,0
16,96,8.6,media,19,1
9,81,4.4,alta,19,0
9,58,5.5,baixa,5,1
6,97,5.7,baixa,12,0
6,75,4.2,baixa,13,0
8,55,9.5,media,14,0
17,86,7.3,media,17,0
12,92,5.9,baixa,5,0
14,83,6.8,baixa,5,0
9,89,7.3,alta,17,1
7,70,9.2,baixa,7,0
11,91,9.3,baixa,9,0
11,76,4.2,baixa,16,1
14,68,6.9,media,6,0
9,76,9.0,baixa,10,0
13,52,7.0,baixa,3,0
8,74,8.6,baixa,6,1
7,83,4.0,media,19,1
14,70,7.9,baixa,8,0
11,60,4.7,media,16,0
16,76,9.3,baixa,13,0
13,77,9.6,alta,11,0
16,53,9.1,media,8,1
15,93,7.7,media,1,0
14,90,4.6,media,7,0
6,97,9.4,media,15,0
6,75,8.2,baixa,15,0
16,70,6.3,alta,19,0
10,88,7.2,media,11,0
14,53,8.8,media,5,0
12,86,6.0,alta,1,0
12,98,9.4,media,5,0
7,92,8.8,baixa,15,1
8,53,9.5,baixa,6,1
9,99,4.9,media,15,0
7,72,5.8,baixa,7,0
15,58,8.6,baixa,10,0
14,89,4.8,baixa,17,0
10,73,9.4,baixa,3,0
12,78,6.2,baixa,13,0
16,56,6.6,baixa,7,0
14,67,9.6,alta,13,0
10,51,8.2,baixa,7,1
11,77,7.3,alta,2,0
9,92,4.6,alta,2,0
13,90,5.4,baixa,13,0
6,78,6.9,baixa,4,0
6,94,7.4,baixa,3,0
10,66,9.1,baixa,10,0
15,80,8.4,baixa,8,0
14,66,8.9,baixa,3,1
7,80,4.7,baixa,4,0
16,72,9.1,baixa,3,1
8,59,5.5,media,17,0
13,55,8.7,alta,5,0
10,87,7.3,alta,2,0
8,96,8.5,alta,17,0
11,76,9.0,media,6,1
11,60,8.2,baixa,17,0
10,69,10.0,media,7,0
10,95,9.6,baixa,7,0
11,54,6.0,baixa,4,0
7,81,7.7,alta,8,0
11,54,9.2,baixa,6,0
7,71,5.4,baixa,12,0
8,50,7.4,baixa,7,1
7,69,7.8,baixa,2,1
6,64,4.2,baixa,1,0
17,60,8.6,media,13,1
6,81,9.8,baixa,3,0
14,77,5.2,media,14,0
9,77,4.3,baixa,10,0
10,66,4.5,media,17,0
15,83,7.6,baixa,7,0
12,73,5.5,media,3,1
7,51,7.1,baixa,17,0
17,76,6.7,baixa,19,0
16,58,10.0,media,18,1
15,68,7.9,media,6,0
14,85,8.3,alta,8,0
17,78,5.8,alta,3,0
9,60,9.9,alta,7,0
15,81,8.8,baixa,11,0
15,76,4.5,media,13,0
6,88,10.0,media,18,0
13,73,6.0,baixa,3,0
9,76,5.1,baixa,11,0
12,76,5.5,baixa,19,0
8,89,7.8,media,1,0
16,81,7.2,media,19,0
17,94,9.1,alta,11,0
14,93,4.7,media,3,0
10,71,7.4,media,2,1
10,98,9.3,baixa,13,0
8,91,8.8,media,12,0
16,81,6.2,baixa,2,1
14,97,8.2,baixa,14,0
8,95,6.3,baixa,1,0
7,84,8.6,baixa,15,0
16,50,4.7,baixa,1,0
14,83,5.7,baixa,13,0
17,50,9.0,baixa,16,1
17,91,5.3,media,18,0
14,84,5.0,alta,8,0
15,78,6.3,alta,12,0
17,67,8.3,baixa,10,0
9,55,4.6,baixa,16,1
9,55,6.1,alta,1,0
16,76,8.6,media,6,0
15,88,9.9,baixa,10,0
11,68,5.1,baixa,15,0
14,87,8.1,baixa,18,0
13,52,7.4,baixa,6,0
15,87,4.6,media,5,1
8,69,8.1,media,7,0
11,51,7.9,alta,15,0
12,56,4.3,baixa,9,0
11,54,9.3,baixa,19,0
8,74,6.5,baixa,3,0
14,91,4.5,baixa,3,0
9,62,7.5,baixa,18,0
7,61,8.5,alta,16,0
14,54,4.7,alta,5,0
8,61,6.4,alta,5,0
11,67,5.6,media,8,0
10,52,9.7,media,11,0
7,53,7.7,media,9,1
6,92,8.8,baixa,11,0
14,68,6.0,media,8,0
8,70,9.1,baixa,18,0
12,74,5.9,alta,5,0
14,52,5.6,alta,13,0
14,56,5.3,media,11,1
17,58,5.6,media,5,0
15,53,7.3,baixa,13,0
11,72,4.5,media,7,0
13,60,4.3,baixa,13,0
14,68,5.8,baixa,18,0
8,50,5.4,alta,14,0
11,53,8.5,alta,7,0
10,58,4.4,media,5,0
12,91,6.7,baixa,7,0
12,56,9.9,baixa,2,0
14,75,5.8,baixa,10,0
6,70,6.6,media,5,0
11,97,7.8,baixa,9,0
10,59,6.7,baixa,18,0
9,59,6.1,baixa,19,1
15,50,8.8,alta,6,0
17,85,5.8,baixa,7,0
16,52,6.5,baixa,5,0
6,84,6.8,media,18,0
9,94,8.0,media,18,1
15,61,8.0,media,7,1
16,76,9.7,media,17,0
12,66,9.5,baixa,18,1
9,68,6.7,media,18,1
6,59,5.1,alta,10,0
15,92,5.3,media,11,1
6,75,7.6,media,2,0
6,57,4.2,baixa,3,0
16,88,5.8,media,3,0
15,51,7.2,alta,14,0
10,61,5.6,alta,3,0
12,88,4.5,baixa,8,0
14,89,4.3,baixa,19,0
13,80,4.4,media,10,0
7,78,5.7,alta,13,0
14,57,5.0,alta,5,0
9,64,5.7,baixa,16,0
17,75,7.1,baixa,16,0
15,97,8.7,media,14,0
16,85,8.8,baixa,17,0
10,90,5.4,baixa,1,1
17,53,8.4,baixa,8,0
16,99,8.9,media,15,0
10,82,4.7,baixa,1,0
9,61,7.4,baixa,13,0
11,99,6.4,media,16,0
6,60,5.9,baixa,15,0
7,79,4.6,media,4,0
9,94,7.3,baixa,19,0
9,75,6.6,alta,10,0
13,99,5.2,baixa,13,0
14,79,7.5,alta,15,0
17,85,6.6,media,6,0
9,82,9.3,baixa,8,0
11,94,8.9,baixa,18,0
9,80,8.2,baixa,9,0
9,51,4.4,alta,11,1
17,64,5.1,baixa,4,0
16,51,8.5,baixa,18,0
17,61,8.4,baixa,19,0
14,67,6.3,alta,1,0
9,57,7.7,media,11,0
11,52,7.2,media,7,0
14,84,8.0,alta,18,0
8,82,8.3,baixa,16,0
12,80,8.3,baixa,14,0
12,53,9.0,alta,11,0
6,72,4.9,media,15,1
16,86,9.9,media,9,0
7,94,7.7,baixa,13,1
10,94,6.4,baixa,1,0
13,84,7.9,alta,17,1
11,89,6.6,baixa,10,0
12,87,5.7,baixa,4,0
8,50,8.8,media,15,1
11,52,4.6,media,14,0
14,59,5.0,media,18,0
8,79,5.7,alta,5,0
11,77,4.2,baixa,5,0
12,65,8.0,media,18,1
10,53,7.4,baixa,16,0
15,97,9.2,baixa,3,0
13,94,7.3,baixa,18,0
13,53,4.5,baixa,6,0
11,72,4.6,baixa,3,0
12,89,9.1,baixa,18,0
8,72,7.6,baixa,14,0
12,99,7.3,alta,13,0
12,64,9.1,baixa,13,0
9,62,7.3,media,5,0
15,50,5.8,media,8,1
9,86,9.9,baixa,8,1
8,73,9.1,alta,12,0
15,93,5.9,baixa,6,0
12,50,8.2,media,5,0
10,94,4.3,baixa,10,0
8,99,7.0,media,13,0
11,94,8.2,baixa,15,0
17,62,6.3,media,4,1
11,87,8.4,media,2,0
11,66,5.9,alta,7,0
7,79,6.9,media,17,0
16,69,7.1,alta,6,0
15,91,7.2,alta,5,1
17,54,9.9,media,5,0
12,90,9.5,baixa,12,1
12,54,8.2,baixa,10,0
15,95,6.4,baixa,12,0
17,86,8.1,media,19,1
9,65,6.2,baixa,17,1
16,70,8.8,alta,6,0
11,83,4.8,alta,10,0
9,95,4.3,media,13,0
9,99,6.0,media,10,0
11,55,6.2,alta,6,1
14,91,9.7,media,1,1
17,55,9.6,baixa,4,0
12,59,7.0,baixa,13,1
7,80,6.9,media,4,0
11,55,8.2,media,10,0
10,52,9.4,baixa,12,0
11,93,9.6,alta,1,0
13,74,5.6,baixa,3,0
13,69,9.2,baixa,6,0
8,84,7.5,media,12,0
14,50,7.9,baixa,8,0
11,80,6.4,alta,14,1
12,63,6.9,alta,2,0
14,52,7.0,baixa,5,0
12,65,8.3,alta,19,0
15,63,5.9,baixa,1,0
14,52,6.3,media,16,0
6,55,8.5,baixa,13,0
6,58,9.2,baixa,2,0
8,82,4.6,media,9,0
14,90,6.2,baixa,18,0
6,61,4.4,baixa,15,0
6,51,5.1,media,2,0
10,92,5.9,alta,14,0
13,95,5.8,baixa,1,0
7,52,5.6,baixa,18,0
9,62,9.3,media,14,0
11,80,6.3,media,19,0
6,58,8.3,baixa,11,0
9,89,9.4,media,2,1
9,90,5.4,baixa,5,0
14,57,4.1,baixa,5,1
14,71,5.9,media,3,0
11,75,6.2,media,4,0
13,65,4.6,baixa,16,1
17,81,4.9,baixa,6,1
15,84,4.6,media,16,0
9,85,4.3,baixa,12,0
15,50,8.7,alta,2,0
13,56,7.1,baixa,2,1
8,99,7.5,media,1,1
7,98,8.4,baixa,13,0
11,89,9.0,media,12,0
10,91,7.8,media,5,0
13,97,8.1,baixa,2,0
6,60,6.9,media,12,0
16,60,9.5,baixa,10,0
17,62,6.4,baixa,19,0
15,90,6.5,baixa,15,0
8,53,7.4,baixa,17,0
12,74,5.7,baixa,19,0
15,52,4.5,media,13,1
17,59,8.9,media,9,0
9,54,4.1,media,11,0
15,61,9.7,baixa,1,0
10,83,9.6,baixa,5,0
13,61,9.7,alta,13,0
6,87,6.9,media,4,0
6,64,8.4,media,7,0
17,70,5.9,media,13,0
12,53,7.9,baixa,17,0
17,60,5.0,baixa,10,0
14,59,6.5,media,7,0
9,56,6.2,media,15,1
13,58,6.8,baixa,14,0
15,67,10.0,media,1,0
12,96,6.8,alta,19,0
7,76,4.9,media,17,0
10,92,8.9,alta,3,0
14,77,6.6,media,14,0
14,81,9.5,baixa,7,0
8,59,8.0,alta,19,0
16,83,8.1,baixa,19,0
17,54,8.1,baixa,17,1
8,69,5.0,baixa,3,1
7,79,7.9,media,18,0
12,82,8.4,baixa,16,0
11,68,5.1,baixa,9,0
10,51,5.6,media,19,0
12,67,9.3,baixa,18,0
9,63,5.5,baixa,16,1
10,54,4.4,media,2,1
14,67,4.6,baixa,8,0
16,94,7.1,media,5,0
14,64,9.6,baixa,7,0
9,72,5.7,alta,9,0
11,99,9.8,baixa,4,0
7,53,9.6,media,12,0
8,83,7.9,alta,12,1
14,73,7.1,media,15,0
11,61,5.4,baixa,2,0
13,78,7.6,baixa,13,0
16,55,6.2,media,15,0
10,73,7.5,alta,3,0
7,96,8.1,alta,3,1
12,71,4.0,media,6,0
11,66,4.3,baixa,10,0
16,81,6.2,media,19,1
7,74,7.3,alta,11,0
11,75,6.2,media,6,0
13,76,4.4,alta,5,1
6,56,9.0,baixa,12,0
9,84,4.6,baixa,1,0
6,83,7.2,media,3,0
7,76,8.9,baixa,8,1
6,57,5.2,baixa,2,0
11,84,7.5,media,7,0
16,67,8.2,baixa,2,0
11,72,6.3,baixa,14,0
6,79,6.3,media,5,0
9,65,4.2,media,5,1
9,80,8.9,baixa,12,0
13,87,4.8,alta,18,0
11,99,4.7,media,11,0
7,83,4.8,media,4,1
10,50,8.4,media,3,1
9,58,4.9,baixa,16,0
15,85,6.5,media,3,0
9,93,9.0,baixa,2,0
17,53,6.3,baixa,10,0
13,94,7.3,baixa,4,0
10,69,7.6,alta,7,0
8,94,8.1,media,14,0
15,66,5.5,media,1,0
17,93,5.4,media,15,0
9,59,5.6,baixa,7,0
6,95,8.3,baixa,15,0
11,92,9.0,alta,2,0
16,89,6.1,baixa,19,0
15,62,6.1,media,17,1
9,87,4.8,baixa,17,0
11,93,8.8,alta,7,0
7,65,7.9,media,4,1
10,88,4.2,media,11,0
16,82,9.7,baixa,16,0
14,76,5.4,alta,17,0
13,86,8.2,media,8,1
8,97,6.0,baixa,1,0
6,65,9.3,media,11,0
15,64,5.9,baixa,12,0
8,65,9.4,baixa,13,0
13,55,6.7,baixa,16,0
16,78,9.6,media,6,0
8,89,5.3,baixa,11,0
10,66,9.0,media,5,0
7,89,7.9,baixa,4,0
6,56,4.1,baixa,19,0
16,83,6.2,media,14,0
15,94,6.9,media,18,0
10,85,5.8,alta,11,0
10,75,4.0,baixa,5,0
11,75,7.0,baixa,7,0
7,60,7.2,baixa,8,0
14,74,7.6,media,15,0
7,85,9.9,media,8,0
7,91,9.0,baixa,3,0
17,97,9.4,baixa,4,0
10,51,4.0,baixa,9,0
14,90,5.0,baixa,3,1
9,77,9.8,baixa,6,0
11,50,8.8,baixa,4,0
7,55,6.3,media,8,0
9,89,9.6,baixa,1,0
17,85,8.7,baixa,19,1
14,50,8.2,media,3,0
7,98,8.3,media,18,1
6,64,9.3,media,16,0
9,50,5.6,alta,15,0
9,68,10.0,baixa,19,0
6,74,9.9,alta,5,0
9,63,5.7,baixa,15,0
8,71,9.3,media,4,0
7,72,5.3,alta,8,0
15,56,7.1,baixa,2,0
9,83,7.3,baixa,9,0
13,60,4.6,baixa,16,1
12,65,4.3,media,4,0
14,96,8.8,baixa,19,0
13,87,8.5,baixa,15,0
6,58,4.8,alta,4,0
17,53,9.1,baixa,1,0
7,94,6.7,baixa,7,0
17,89,4.7,alta,10,0
7,84,4.1,baixa,14,0
17,72,9.1,media,10,0
13,73,5.8,alta,5,0
17,53,5.6,media,18,0
9,79,9.1,alta,4,0
14,89,4.0,baixa,5,1
7,81,8.4,alta,16,0
9,87,7.8,baixa,16,0
6,83,9.1,baixa,9,0
8,83,4.4,media,1,0
11,80,6.7,alta,9,0
14,80,5.3,baixa,18,0
16,81,7.2,media,18,0
6,85,7.3,media,16,0
10,71,7.5,media,14,0
17,68,8.1,baixa,9,1
7,94,5.8,baixa,14,0
12,84,4.2,alta,12,0
9,87,5.6,baixa,19,1
10,91,5.8,baixa,5,0
13,64,6.7,media,3,1
7,87,4.9,alta,1,0
8,57,8.3,alta,7,0
16,81,6.2,alta,8,0
10,85,6.3,baixa,12,0
15,86,6.0,baixa,4,0
9,79,6.9,alta,3,0
10,97,4.4,alta,19,0
8,72,9.2,baixa,1,1
17,92,8.4,alta,9,0
14,56,4.2,media,7,0
13,71,9.2,baixa,15,0
11,85,8.5,baixa,9,0
6,88,8.9,baixa,11,0
9,77,7.3,baixa,10,0
12,61,9.0,media,13,0
15,52,6.1,baixa,14,1
10,94,9.3,media,4,0
9,87,9.5,baixa,17,0
14,93,4.4,baixa,16,0
13,85,6.5,baixa,1,0
8,70,6.3,baixa,6,0
11,71,9.4,alta,7,0
17,72,8.8,alta,15,0
17,56,6.6,baixa,6,0
9,56,7.9,alta,3,0
12,70,8.5,baixa,3,0
6,93,5.5,media,2,0
6,63,8.3,alta,13,0
17,91,9.0,baixa,15,0
17,56,9.0,media,19,1
11,54,9.1,baixa,11,0
15,86,8.3,baixa,12,0
16,68,8.9,baixa,19,0
12,74,9.3,media,13,0
14,61,4.6,baixa,1,0
12,58,4.9,alta,9,0
14,50,8.8,media,14,0
15,92,4.0,media,10,0
14,78,6.8,baixa,17,0
13,92,5.5,baixa,16,0
12,68,7.7,media,5,0
17,64,9.3,baixa,3,0
8,85,7.6,baixa,5,0
